student,sprint,dominant_peer_type,dominant_contributor
t11_s01,Sprint 3,good teammate,higher
t11_s02,Sprint 1,good teammate,higher
t11_s02,Sprint 2,good teammate,higher
t11_s02,Sprint 3,good teammate,higher
t11_s03,Sprint 1,good teammate,higher
t11_s03,Sprint 2,good teammate,higher
t11_s03,Sprint 3,good teammate,higher
t11_s04,Sprint 1,good teammate,higher
t11_s04,Sprint 2,good teammate,higher
t11_s04,Sprint 3,good teammate,higher
t11_s05,Sprint 3,good teammate,higher
t12_s01,Sprint 1,good teammate,higher
t12_s01,Sprint 2,good teammate,higher
t12_s01,Sprint 3,good teammate,higher
t12_s02,Sprint 1,good teammate,higher
t12_s02,Sprint 2,good teammate,higher
t12_s02,Sprint 3,good teammate,higher
t12_s03,Sprint 1,good teammate,higher
t12_s03,Sprint 2,good teammate,higher
t12_s03,Sprint 3,good teammate,higher
t12_s04,Sprint 1,good teammate,higher
t12_s04,Sprint 2,good teammate,higher
t12_s04,Sprint 3,good teammate,higher
t12_s05,Sprint 1,good teammate,higher
t12_s05,Sprint 2,good teammate,higher
t12_s05,Sprint 3,good teammate,higher
t13_s01,Sprint 1,good teammate,higher
t13_s01,Sprint 2,good teammate,higher
t13_s01,Sprint 3,good teammate,higher
t13_s02,Sprint 1,good teammate,higher
t13_s02,Sprint 2,couch potato,lower
t13_s02,Sprint 3,good teammate,higher
t13_s03,Sprint 1,good teammate,higher
t13_s03,Sprint 2,good teammate,higher
t13_s03,Sprint 3,good teammate,higher
t13_s04,Sprint 1,good teammate,higher
t13_s04,Sprint 2,good teammate,higher
t13_s04,Sprint 3,good teammate,higher
t13_s05,Sprint 1,good teammate,higher
t13_s05,Sprint 2,good teammate,higher
t13_s05,Sprint 3,good teammate,higher
t14_s01,Sprint 1,good teammate,higher
t14_s01,Sprint 2,good teammate,higher
t14_s01,Sprint 3,good teammate,higher
t14_s02,Sprint 1,good teammate,higher
t14_s02,Sprint 2,good teammate,higher
t14_s02,Sprint 3,good teammate,higher
t14_s03,Sprint 1,good teammate,higher
t14_s03,Sprint 2,good teammate,higher
t14_s03,Sprint 3,good teammate,higher
t14_s04,Sprint 1,good teammate,higher
t14_s04,Sprint 2,good teammate,higher
t14_s04,Sprint 3,good teammate,higher
t14_s05,Sprint 1,good teammate,higher
t14_s05,Sprint 2,good teammate,higher
t14_s05,Sprint 3,good teammate,higher
t15_s01,Sprint 1,good teammate,higher
t15_s01,Sprint 2,good teammate,higher
t15_s01,Sprint 3,good teammate,higher
t15_s02,Sprint 1,good teammate,higher
t15_s02,Sprint 2,good teammate,higher
t15_s02,Sprint 3,good teammate,higher
t15_s03,Sprint 1,good teammate,higher
t15_s03,Sprint 2,good teammate,higher
t15_s03,Sprint 3,good teammate,higher
t15_s04,Sprint 1,good teammate,higher
t15_s04,Sprint 2,good teammate,higher
t15_s04,Sprint 3,good teammate,higher
t15_s05,Sprint 1,good teammate,higher
t15_s05,Sprint 2,good teammate,higher
t15_s05,Sprint 3,good teammate,higher
t16_s01,Sprint 1,good teammate,higher
t16_s01,Sprint 2,good teammate,higher
t16_s01,Sprint 3,good teammate,higher
t16_s02,Sprint 1,good teammate,higher
t16_s02,Sprint 2,good teammate,higher
t16_s02,Sprint 3,good teammate,higher
t16_s03,Sprint 1,good teammate,higher
t16_s03,Sprint 2,good teammate,higher
t16_s03,Sprint 3,good teammate,higher
t16_s04,Sprint 1,hitchhiker,lower
t16_s04,Sprint 2,good teammate,higher
t16_s04,Sprint 3,good teammate,higher
t16_s05,Sprint 1,good teammate,higher
t16_s05,Sprint 2,good teammate,higher
t16_s05,Sprint 3,good teammate,higher
t17_s01,Sprint 1,good teammate,higher
t17_s01,Sprint 2,good teammate,higher
t17_s01,Sprint 3,good teammate,higher
t17_s02,Sprint 1,good teammate,higher
t17_s02,Sprint 2,good teammate,higher
t17_s02,Sprint 3,good teammate,higher
t17_s03,Sprint 1,good teammate,higher
t17_s03,Sprint 2,good teammate,higher
t17_s03,Sprint 3,good teammate,higher
t17_s04,Sprint 1,good teammate,higher
t17_s04,Sprint 2,good teammate,higher
t17_s04,Sprint 3,good teammate,higher
t17_s05,Sprint 1,good teammate,higher
t17_s05,Sprint 2,good teammate,higher
t17_s05,Sprint 3,good teammate,higher
t18_s01,Sprint 1,good teammate,higher
t18_s01,Sprint 2,good teammate,higher
t18_s01,Sprint 3,good teammate,higher
t18_s02,Sprint 1,good teammate,higher
t18_s02,Sprint 2,good teammate,higher
t18_s02,Sprint 3,good teammate,higher
t18_s03,Sprint 1,good teammate,higher
t18_s03,Sprint 2,good teammate,higher
t18_s03,Sprint 3,good teammate,higher
t18_s04,Sprint 3,good teammate,higher
t18_s05,Sprint 1,good teammate,higher
t18_s05,Sprint 2,good teammate,higher
t18_s05,Sprint 3,good teammate,higher
t18_s06,Sprint 1,good teammate,higher
t18_s06,Sprint 2,couch potato,higher
t18_s06,Sprint 3,couch potato,lower
t19_s01,Sprint 1,good teammate,higher
t19_s01,Sprint 2,good teammate,higher
t19_s01,Sprint 3,good teammate,higher
t19_s02,Sprint 3,good teammate,higher
t19_s03,Sprint 1,couch potato,lower
t19_s04,Sprint 1,good teammate,higher
t19_s04,Sprint 2,good teammate,higher
t19_s04,Sprint 3,good teammate,higher
t19_s05,Sprint 1,good teammate,higher
t19_s05,Sprint 2,good teammate,higher
t19_s05,Sprint 3,good teammate,higher
t19_s06,Sprint 1,good teammate,higher
t19_s06,Sprint 2,good teammate,higher
t19_s06,Sprint 3,good teammate,higher
t20_s01,Sprint 1,good teammate,higher
t20_s01,Sprint 2,good teammate,higher
t20_s01,Sprint 3,good teammate,higher
t20_s02,Sprint 1,good teammate,higher
t20_s02,Sprint 2,good teammate,higher
t20_s02,Sprint 3,good teammate,higher
t20_s03,Sprint 1,good teammate,higher
t20_s03,Sprint 2,good teammate,higher
t20_s03,Sprint 3,good teammate,higher
t20_s04,Sprint 1,good teammate,higher
t20_s04,Sprint 2,good teammate,higher
t20_s04,Sprint 3,good teammate,higher
t20_s05,Sprint 1,good teammate,higher
t20_s05,Sprint 2,good teammate,higher
t20_s05,Sprint 3,good teammate,higher
t20_s06,Sprint 1,good teammate,higher
t20_s06,Sprint 2,good teammate,higher
t20_s06,Sprint 3,good teammate,higher
t21_s01,Sprint 1,good teammate,higher
t21_s01,Sprint 2,couch potato,higher
t21_s01,Sprint 3,good teammate,higher
t21_s02,Sprint 1,good teammate,higher
t21_s02,Sprint 2,good teammate,higher
t21_s02,Sprint 3,good teammate,higher
t21_s03,Sprint 1,good teammate,higher
t21_s03,Sprint 2,good teammate,higher
t21_s03,Sprint 3,good teammate,higher
t21_s04,Sprint 1,good teammate,higher
t21_s04,Sprint 2,couch potato,lower
t21_s04,Sprint 3,good teammate,lower
t21_s05,Sprint 1,good teammate,higher
t21_s05,Sprint 2,good teammate,higher
t21_s05,Sprint 3,couch potato,lower
t22_05,Sprint 1,good teammate,higher
t22_05,Sprint 2,good teammate,higher
t22_05,Sprint 3,good teammate,higher
t22_s01,Sprint 1,good teammate,higher
t22_s01,Sprint 2,good teammate,higher
t22_s01,Sprint 3,good teammate,higher
t22_s02,Sprint 1,good teammate,higher
t22_s02,Sprint 2,good teammate,higher
t22_s02,Sprint 3,good teammate,higher
t22_s03,Sprint 1,good teammate,higher
t22_s03,Sprint 2,good teammate,higher
t22_s03,Sprint 3,good teammate,higher
t22_s04,Sprint 1,good teammate,higher
t22_s04,Sprint 2,good teammate,higher
t22_s04,Sprint 3,good teammate,higher
t23_s01,Sprint 1,good teammate,higher
t23_s01,Sprint 2,good teammate,higher
t23_s01,Sprint 3,good teammate,higher
t23_s02,Sprint 1,good teammate,higher
t23_s02,Sprint 2,good teammate,higher
t23_s02,Sprint 3,couch potato,higher
t23_s03,Sprint 1,couch potato,lower
t23_s03,Sprint 2,couch potato,lower
t23_s03,Sprint 3,couch potato,lower
t23_s04,Sprint 1,good teammate,higher
t23_s04,Sprint 2,good teammate,higher
t23_s04,Sprint 3,good teammate,higher
t23_s05,Sprint 1,good teammate,higher
t23_s05,Sprint 2,good teammate,higher
t23_s05,Sprint 3,good teammate,higher
t23_s06,Sprint 1,couch potato,lower
t24_s01,Sprint 1,good teammate,higher
t24_s01,Sprint 2,good teammate,higher
t24_s01,Sprint 3,good teammate,higher
t24_s02,Sprint 1,good teammate,higher
t24_s02,Sprint 2,good teammate,higher
t24_s02,Sprint 3,good teammate,higher
t24_s03,Sprint 1,good teammate,higher
t24_s03,Sprint 2,good teammate,higher
t24_s03,Sprint 3,good teammate,higher
t24_s04,Sprint 2,good teammate,higher
t24_s04,Sprint 3,good teammate,higher
t24_s05,Sprint 1,good teammate,higher
t24_s05,Sprint 2,good teammate,higher
t24_s05,Sprint 3,good teammate,higher
t24_s06,Sprint 1,hitchhiker,lower
